system:index,LST,NDBI,NDVI,NDWI,.geo
39,33.38483279000002,-5.285722675750279E-4,0.12254344782143152,-0.16191515482198882,"{""type"":""Point"",""coordinates"":[73.24429310010744,33.61425198914581]}"
40,35.96372888000002,0.022234273318872018,0.0804674235110031,-0.1109437579159963,"{""type"":""Point"",""coordinates"":[73.1608683670121,33.62926670131137]}"
41,34.59822989000003,-0.018177195881530443,0.16530278232405893,-0.1929184429510211,"{""type"":""Point"",""coordinates"":[72.80244808084655,33.59477091107865]}"
42,32.86358474000002,-0.01359645258861187,0.19913841022790438,-0.21689465519672824,"{""type"":""Point"",""coordinates"":[72.88228439447883,33.73513286157264]}"
43,35.970564920000015,0.02418426103646833,0.09308017994178354,-0.12355501155990752,"{""type"":""Point"",""coordinates"":[73.04587925660722,33.5267974745264]}"
44,29.589121579999983,-0.09632863514047534,0.23116586716257054,-0.2089896034364689,"{""type"":""Point"",""coordinates"":[72.82039816020853,33.72077057229155]}"
45,34.21028462000004,-0.12928981650091048,0.2400692174581811,-0.23163884963525952,"{""type"":""Point"",""coordinates"":[72.98272672968976,33.61778785660498]}"
46,29.10376273999998,-0.11609724577982393,0.30057977561930577,-0.2838322463162198,"{""type"":""Point"",""coordinates"":[73.00779921071705,33.72898139878756]}"
47,23.207678240000007,-0.11001575693911357,0.24881818181818183,-0.2251505016722408,"{""type"":""Point"",""coordinates"":[73.08893692425522,33.76541009584036]}"
48,34.07185480999999,0.004191361383590452,0.17602514893099674,-0.18863883720113753,"{""type"":""Point"",""coordinates"":[72.93487725670056,33.579340020541984]}"
49,27.553690670000037,-0.1001321726448202,0.3023866477221633,-0.2917692390024617,"{""type"":""Point"",""coordinates"":[73.19995601820548,33.755205112404795]}"
50,36.00816314000002,0.03238573896654626,0.0687669141627923,-0.09595474436972996,"{""type"":""Point"",""coordinates"":[73.00877699922066,33.602956996597754]}"
51,32.911437019999994,-0.032011156877371647,0.18079263767255455,-0.1858090482224044,"{""type"":""Point"",""coordinates"":[73.03078820031286,33.69064399791718]}"
52,31.024689980000005,-0.00430425084042854,0.13226126381411166,-0.15839826055444828,"{""type"":""Point"",""coordinates"":[73.15039466322798,33.64894410002121]}"
53,35.849225209999986,-0.03829853780592697,0.17287309214245336,-0.20464483352989205,"{""type"":""Point"",""coordinates"":[73.25385645969392,33.54115142274871]}"
54,30.57692936000001,0.03422723488990811,0.09879294336118849,-0.12264258338709065,"{""type"":""Point"",""coordinates"":[73.18241685767632,33.75037454199531]}"
55,32.31328352000003,0.007235615659262536,0.11181882519462137,-0.13155904490942485,"{""type"":""Point"",""coordinates"":[73.04015658470676,33.69153717275662]}"
56,32.27055827000004,-0.04356808652852889,0.20154618438773547,-0.22143593755556346,"{""type"":""Point"",""coordinates"":[73.27375630215091,33.604599477682]}"
57,34.97079407000001,0.017951662139076372,0.11218243521837039,-0.15113912415468453,"{""type"":""Point"",""coordinates"":[73.00671948366005,33.62542373035196]}"
58,30.580347380000035,-0.05734249240838468,0.20672947510094214,-0.22607774093193395,"{""type"":""Point"",""coordinates"":[73.16704726590527,33.65743764567369]}"
59,28.374015470000018,-0.015087567711275797,0.1517505326068513,-0.16517261110051498,"{""type"":""Point"",""coordinates"":[73.1894812127699,33.74031186743793]}"
60,26.13350336000002,-0.1388888888888889,0.2606400804289544,-0.23184609087187882,"{""type"":""Point"",""coordinates"":[73.1145292508136,33.708054552486395]}"
61,34.14876026000002,-0.07823561444908332,0.22113342013294046,-0.21796186180028707,"{""type"":""Point"",""coordinates"":[72.81836095304452,33.756971427393104]}"
62,30.351340040000025,-0.07838523362772362,0.22845555342813875,-0.23778455926198744,"{""type"":""Point"",""coordinates"":[73.17881271787441,33.63314134496112]}"
